time,vehicles
0,0
6,0
12,0
18,0
24,0
30,0
36,0
42,0
48,0
54,0
60,0
66,0
72,0
78,0
84,0
100,0
106,0
112,0
118,0
124,0
130,0
136,0
142,0
148,0
154,0
160,1
166,0
172,1
178,0
184,0
200,0
206,0
212,0
218,0
224,0
230,0
236,1
242,0
248,0
254,0
260,0
266,0
272,0
278,0
284,0
300,0
306,0
312,0
318,0
324,0
330,0
336,0
342,0
348,0
354,0
360,0
366,0
372,0
378,1
384,0
400,0
406,0
412,0
418,0
424,0
430,0
436,0
442,0
448,0
454,0
460,0
466,0
472,1
478,0
484,0
500,0
506,0
512,0
518,0
524,0
530,0
536,0
542,0
548,0
554,0
560,0
566,0
572,0
578,0
584,0
600,0
606,0
612,0
618,0
624,0
630,0
636,0
642,0
648,0
654,0
660,0
666,0
672,0
678,0
